Knygos pavadinimas,Autorius,Kaina €,Reitingas,Įvertinimų skaičius,Žanras
SLYSTANTI ŽEMĖ. Į prestižinių apdovanojimų „The Women's Prize“ finalą patekęs sukrečiantis romanas apie „kitokius“ žmones,Claire Fuller,17.29,4,7,Užsienio romanai
PASKUTINIS ŽALIUOJANTIS SLĖNIS. Pragariška jaunos vokiečių šeimos kelionė į laisvę iš sovietų užkariautos Ukrainos. Pagal tikrus įvykius sukurtas naujas bestselerio „Po raudonu dangum“ autoriaus romanas,Mark Sullivan,20.29,4,44,Užsienio romanai
"KAI BUVAU TAVIMI. Ką darytumėte, jei kažkas kitas gyventų jūsų gyvenimą? Psichologinės įtampos ir netikėtų siužeto posūkių kupinas „Amazon Charts“ bestseleris",Minka Kent,17.29,4,4,Užsienio romanai
PILNOS KIŠENĖS. Prestižine Europos Sąjungos literatūros premija apdovanota knyga gurmaniškos literatūros gerbėjams,Asta Olivia Nordenhof,12.89,3,5,Užsienio romanai
"PAUKŠČIAI GIESMININKAI. Tikrų įvykių įkvėpta ir tarptautiniu bestseleriu tapusi istorija apie tai, kaip geresnio gyvenimo paieškos nuveda į spąstus. Nauja romano „Bitininkas iš Alepo“ autorės knyga!",Christy Lefteri,17.29,4,14,Užsienio romanai
HAIDNO PENTAGRAMA. Įtampos ir mistikos persmelktas detektyvinis trileris „Da Vinčio kodo“ gerbėjams,Anria Reicher,17.29,4,9,Užsienio romanai
"SUGRĮŽIMAS. Ar psichologinės traumos, kaltė ir slegianti atsakomybė nesutrukdys siekti laimės? Pasaulinių bestselerių autorius dovanoja dar vieną sielą šildančią istoriją",Nicholas Sparks,14.59,4,12,Užsienio romanai
"GEROJI SESUO. Naujas bestselerio „Anyta“ autorės psichologinis trileris, kuriame abejoti verčia ne viena, o dvi nepatikimos pasakotojos",Sally Hepworth,15.29,4,30,Užsienio romanai
"MIELOJI ROUZĖ GOLD. Negailestinga ir rafinuota keršto istorija – juk motinos niekada nepamiršta, o dukterys niekada neatleidžia",Stephanie Wrobel,15.29,4,15,Užsienio romanai
Metas pasigailėti,John Grisham,7.59,4,4,Užsienio romanai
Stebintis slapčia,Gytha Lodge,10.79,5,1,Užsienio romanai
"OLIVIJA, IR VĖL. Antroji Pulitzerio premijos laureatės knyga apie atšiauraus būdo Oliviją Kiteridž ir jos skausmingai atvirą žvilgsnį į žmogaus egzistencijos esmę",Elizabeth Strout,15.39,5,7,Užsienio romanai
Audrų stebėtojas,Kristina Ohlsson,11.79,5,1,Užsienio romanai
Skilimas,Sharon Bolton,11.79,3,3,Užsienio romanai
Mirties pabaiga,Liu Cixin,17.19,4,9,Užsienio romanai
Valdovės gambitas,Walter Tevis,11.49,4,5,Užsienio romanai
40 paltų ir viena saga,Ivan Sciapeconi,10.79,4,2,Užsienio romanai
Utzas,Bruce Chatwin,14.99,4,0,Užsienio romanai
"Žmogus, kuris miega",Georges Perec,13.79,4,0,Užsienio romanai
"Vienas, nė vienas ir šimtas tūkstančių",Luigi Pirandello,17.49,4,0,Užsienio romanai
Skerdykla Nr. 5,Kurt Vonnegut,7.69,4,10,Užsienio romanai
Čempionų pusryčiai,Kurt Vonnegut,8.99,4,2,Užsienio romanai
Kopa. Mesijas. Antra „Kopa“ kronikų knyga,Frank Herbert,17.09,4,20,Užsienio romanai
"Šugis Beinas. 2020 m. „Booker Prize“ apdovanotas romanas, literatūros kritikų lyginamas su H. Yanagiharos knyga „Mažas gyvenimas“",Douglas Stuart,14.69,4,12,Užsienio romanai
"Kim Džijongė, gimusi 1982",Cho Nam-joo,8.89,4,8,Užsienio romanai
"DEIVIDAS KOPERFILDAS: vienas garsiausių ir didingiausių visų laikų angliškų romanų – Charleso Dickenso viso gyvenimo kūrybos triumfas, kupinas biografinių detalių",Charles Dickens,13.99,3,2,Užsienio romanai
Širdis tave parves namo,Joss Wood,2.39,5,1,Užsienio romanai
Devyni mėnesiai aistros,Joanne Rock,2.39,5,1,Užsienio romanai
Mylėti ir saugoti,Annie West,2.39,4,0,Užsienio romanai
GRAFAS MONTEKRISTAS II dalis,Alexandre Dumas,10.79,0,0,Užsienio romanai
GRAFAS MONTEKRISTAS I dalis,Alexandre Dumas,10.79,0,0,Užsienio romanai
Butas Paryžiuje,Lucy Foley,7.69,4,8,Užsienio romanai
Pavergtas protas (detektyvė Kima Stoun),Angela Marsons,8.79,5,6,Užsienio romanai
Pagrobtosios,Patricia Gibney,7.69,4,8,Užsienio romanai
Slėpynės,Lisa Gardner,8.79,4,5,Užsienio romanai
Iš meilės,Kristin Hannah,9.89,5,11,Užsienio romanai
Linkolno greitkelis,Amor Towles,9.89,4,4,Užsienio romanai
"KOL DAR NEATŠALO KAVA: jei galėtume keliauti laiku, su kuo norėtume susitikti – galbūt paskutinį sykį?",Toshikazu Kawaguchi,9.49,4,12,Užsienio romanai
ATSIDAVIMAS: aistringa giesmė meilei ir savo žemei,Hannah Kent,10.69,3,9,Užsienio romanai
Veritė,Colleen Hoover,9.69,4,87,Užsienio romanai
PADĖTIES ŠEIMININKAS: Švedijos bestseleris Nr. 1 – skaitykite naujausią Jens Lapidus detektyvo šedevrą,Jens Lapidus,10.79,2,4,Užsienio romanai
Matrix. Apie utopinio moterų pasaulio kūrimą ir pirmosios prancūzų poetės moters likimą,Lauren Groff,11.29,3,6,Užsienio romanai
Daugiau niekada,Karen Rose,8.69,4,3,Užsienio romanai
Mirusiųjų galerija,Chris Carter,10.89,4,14,Užsienio romanai
Šiaurės vėjas,JD Kirk,8.69,4,6,Užsienio romanai
23-ias keleivis,Sebastian Fitzek,8.69,4,11,Užsienio romanai
Žmonės be praeities. Tarp trijų marų,Jaan Kross,10.79,1,1,Užsienio romanai
Mergelių tyla,Pat Barker,10.89,4,2,Užsienio romanai
Popieriniai rūmai,Miranda Cowley Heller,10.89,4,12,Užsienio romanai
Joga,Emmanuel Carrere,10.29,5,3,Užsienio romanai
"Išgirsk mane (Ricoli ir Ailz, #13)",Tess Gerritsen,8.69,4,9,Užsienio romanai
Ligoninė. Inspektorius Rajenas,L.J. Ross,7.59,4,7,Užsienio romanai
"Tapsmas (Drakono širdies palikimas, #2)",Nora Roberts,8.69,5,3,Užsienio romanai
48 valandos,Andreas Gruber,8.69,4,12,Užsienio romanai
JUODOJI AUŠRA: mažus Švedijos miestelius sukrečia siaubingi nusikaltimai – ar įvykiai galėjo būti susiję? Tyrimas atskleidžia tamsias paslaptis…,Cilla ir Rolf Börj...,11.69,4,6,Užsienio romanai
Nakties kelias,Kristin Hannah,8.69,4,27,Užsienio romanai
Lėta ugnis,Paula Hawkins,10.29,3,1,Užsienio romanai
Vasaros romanas,Emily Henry,11.39,4,10,Užsienio romanai
Žibintininkai,Emma Stonex,11.39,4,4,Užsienio romanai
Gustavo sonata,Rose Tremain,10.29,4,0,Užsienio romanai
"Žmogus, miręs du kartus",Richard Osman,8.69,2,9,Užsienio romanai
Tobuli palaikai,Helen Fields,8.69,4,10,Užsienio romanai
"Atsiprašyk (Sakramentas, #1)",Karen Rose,8.69,3,7,Užsienio romanai
Dingusieji (Lotė Parker),Patricia Gibney,8.69,5,8,Užsienio romanai
Neatsargus žingsnis,Lisa Gardner,8.69,5,7,Užsienio romanai
Žiežirbos lyg žvaigždės,Nadia Hashimi,8.69,5,1,Užsienio romanai
Karalienė Margo,Alexandre Dumas,13.49,4,0,Užsienio romanai
"MIRTIS SAULĖLYDŽIO GIRAITĖJE: suomiškoji mis Marpl – tobula atostogų knyga, netikėto humoro kupinas detektyvas Agathos Christie gerbėjams",Minna Lindgren,11.69,4,7,Užsienio romanai
JEKATERINA II. IMPERATORĖ IŠTVIRKĖLĖ: istorinis romanas apie imperatorės pakilimus ir nuopolius,Francas Baueris,8.09,2,5,Užsienio romanai
"RASPUTINAS. MUŽIKAS, SUGRIOVĘS IMPERIJĄ: istorinis romanas apie žmogų, kuris parklupdė Rusijos imperiją",Francas Baueris,8.09,3,6,Užsienio romanai
"Žinau, kad prisimeni",Tove Alsterdal,12.59,4,3,Užsienio romanai
"Žmogus, kuris žaidė su ugnimi",Jan Stocklassa,12.59,4,0,Užsienio romanai
"STALINAS. MANO VARDAS NEAPYKANTA: istorinis romanas apie nuožmiausią vienos didžiausių pasaulio valstybių diktatorių, vadintą Sekretoriumi",Francas Baueris,8.09,3,3,Užsienio romanai
MIRTIES VARDAS BERIJA: istorinis romanas apie kruviniausią XX a. budelį,Francas Baueris,8.09,4,2,Užsienio romanai
Naktį visų kraujas juodas. „International Booker Prize“ 2021 premija,David Diop,7.99,4,3,Užsienio romanai
Nematomas Adės Laru gyvenimas,V.E. Schwab,12.59,4,11,Užsienio romanai
Dunkst dunkst tankiai plakantis mano gyvenimas,Ae-Ran Kim,10.29,5,1,Užsienio romanai
"Tylioji (Ricoli ir Ailz, #9)",Tess Gerritsen,6.59,5,12,Užsienio romanai
"Ledinis šaltis (Ricoli ir Ailz, #8)",Tess Gerritsen,6.59,4,38,Užsienio romanai
Medžioklės vakarėlis,Lucy Foley,8.69,4,4,Užsienio romanai
Mirtis iš pirmo žvilgsnio,Peter James,8.69,4,4,Užsienio romanai
TĖVAS GORIJO: sukrečiantis ir laikui nepavaldus garsiausio Prancūzijos rašytojo šedevras apie žmonių godumą ir išdavystę,Honore de Balzac,9.89,5,3,Užsienio romanai
Rūko salos šešėlis,Mariette Lindstein,11.69,5,2,Užsienio romanai
Purpurinis vasaros sapnas,Christoffer Hols,11.69,4,12,Užsienio romanai
"DANGAUS BELAISVIS: pavojingų paslapčių ir begalinės meilės knygoms kupinas Barselonos pasakojimas, tapęs populiariausia visų laikų knyga Ispanijoje ir bestseleriu daugiau nei 40 pasaulio šalių",Carlos Ruiz Zafon,11.69,5,1,Užsienio romanai
Mūsų melas,Jane Corry,8.69,4,7,Užsienio romanai
"Štai kaip viskas prasideda (Stefanė King, #1)",Rachel Abbott,8.69,3,3,Užsienio romanai
Vaikų žaidimai (detektyvė Kima Stoun),Angela Marsons,8.69,5,5,Užsienio romanai
Kelias namo,Sebastian Fitzek,8.69,4,15,Užsienio romanai
"Pabudimas (Drakono širdies palikimas, #1)",Nora Roberts,8.69,4,12,Užsienio romanai
Longstounas (10),L.J. Ross,7.59,4,6,Užsienio romanai
Vernonas Subutexas 2,Virginie Despentes,9.19,3,3,Užsienio romanai
Mano kova. Kartais turi lyti,Karl Ove Knausgård,11.39,4,0,Užsienio romanai
Anomalija,Herve Le Tellier,9.69,5,3,Užsienio romanai
Odė šešėliams,Jun'ichiro Tanizaki,12.09,4,0,Užsienio romanai
ŽVAIGŽDĖS VALANDA,Clarice Lispector,7.49,5,1,Užsienio romanai
"Susimausi – galas (Rojus Greisas, #14)",Peter James,8.69,4,3,Užsienio romanai
Einu tau iš paskos,Rachel Abbott,8.69,4,9,Užsienio romanai
Svečių sąrašas,Lucy Foley,8.69,4,20,Užsienio romanai
Atsiskyrėlio buveinė,L.J. Ross,7.59,5,1,Užsienio romanai
Praeities demonai,Angela Marsons,8.69,4,5,Užsienio romanai
Šindlerio sąrašas,Thomas Keneally,9.79,4,8,Užsienio romanai
Blyksnis tamsoje,Stacy Willingham,8.69,4,11,Užsienio romanai
Atminimų skrynelė,Kathryn Hughes,8.69,4,8,Užsienio romanai
Prieš man tave sutinkant,Lisa Jewell,7.59,4,4,Užsienio romanai
Vieni (detektyvė D. D. Voren),Lisa Gardner,8.69,4,3,Užsienio romanai
Skambutis (#8),Chris Carter,10.89,4,19,Užsienio romanai
Paskutinės apeigos,Hannah Kent,8.09,4,59,Užsienio romanai
"ARTIMA SIELA. Bestselerių „Užrašų knygelė“ ir „Dviese“ autoriaus širdį draskanti meilės istorija, kurios neįveikia prabėgę dešimtmečiai ir skirtingi žemynai",Nicholas Sparks,9.39,4,17,Užsienio romanai
"AŠ STEBIU TAVE. O jei didžiausią pavojų kelia tas, kuris myli labiausiai? Psichologinis trileris, kurį įvertino daugiau nei pusė milijono skaitytojų!",Teresa Driscoll,8.79,4,47,Užsienio romanai
Dingusi vaistininkė,Sarah Penner,9.79,4,22,Užsienio romanai
NEPAKLUSTI TAISYKLĖMS,Samantha Young,8.79,3,17,Užsienio romanai
Dailiausia moteris mieste,Charles Bukowski,12.69,5,5,Užsienio romanai
Arbatos plantatoriaus žmona,Dinah Jefferies,8.79,4,32,Užsienio romanai
Knyga laiko būčiai,Ruth Ozeki,10.09,5,15,Užsienio romanai
MERGINA TRAUKINY,Paula Hawkins,8.39,4,72,Užsienio romanai
Šikšnosparnis. Pirmoji detektyvo Hario Hūlės serijos knyga!,Jo Nesbø,8.69,4,31,Užsienio romanai
"TARAKONAI: nuodėmingas detektyvas, pakeitęs paties Jo Nesbø gyvenimą ir išstūmęs iš jo viską, išskyrus Harį Hūlę",Jo Nesbø,8.69,4,20,Užsienio romanai
Stouneris,John Williams,8.79,4,42,Užsienio romanai
"GALVŲ MEDŽIOTOJAI: detektyvas, vertas Quentino Tarantino ir brolių Coenų filmų!",Jo Nesbø,7.79,4,19,Užsienio romanai
NEMEZIDĖ: žiaurūs bankų plėšimai tęsiasi... Meistriškai klaidus įvykių labirintas!,Jo Nesbø,8.79,4,18,Užsienio romanai
"ŠARVUOTA ŠIRDIS: įtempto, nuolat stebinančio siužeto psichologinis trileris apie žudiko psichopato paieškas Osle. Tiesiog tobulas trileris!",Jo Nesbø,8.79,4,15,Užsienio romanai
"PENTAGRAMA: Velnio ženklas, žudiko parašas... Fenomenalus ir įtampos kupinas romanas, įsibraunantis į tamsiausius žmogaus asmenybės užkaborius",Jo Nesbø,8.79,4,19,Užsienio romanai
VAIDUOKLIS: vienas geriausių įtempto siužeto skandinaviškų romanų ir bene asmeniškiausia Hario Hūlės byla. Naktinio Oslo gatvėmis klaidžioja vaiduoklis!,Jo Nesbø,8.79,4,16,Užsienio romanai
Našlaičių prižiūrėtojo sūnus,Adam Johnson,9.19,4,17,Užsienio romanai
Gelbėtojas,Jo Nesbø,7.79,4,23,Užsienio romanai
"IŠ DANGAUS NUKRITO TRYS OBUOLIAI. Vertinantiems minties gylį ir teksto grožį - magiškas pasakojimas apie meilę ir skausmą, kerštą ir atleidimą",Narine Abgaryan,9.89,4,83,Užsienio romanai
VAIKŲ ŽAIDIMAI. Žiauraus nusikaltimo tyrimas atskleidžia prieš kelis dešimtmečius baigtos bylos spragas. Kieno prisiminimai yra tiesa ir kas iš tiesų kaltas? Naujas bestselerio „Aukos“ autoriaus trileris!,Bo Svernström,12.99,4,10,Užsienio romanai
"BANKININKO ŽMONA. Tamsūs bankininkų gyvenimo užkulisiai, nešvarūs milijonai, kova dėl įtakos ir mirtini pavojai bandant prisikasti prie tiesos",Cristina Alger,11.49,4,7,Užsienio romanai
"FLEIŠMANUI NESISEKA. Įžvalgi, kandi ir negailestinga santuokos, skyrybų ir didelių ambicijų analizė. „The New York Times“ paskelbta viena geriausių 2019 metų knygų",Taffy Brodesser-Akner,11.49,4,1,Užsienio romanai
VISA TAI GALĖTŲ BŪTI TAVO. Ką reiškia pakliūti į savo galia piktnaudžiaujančio vyro gniaužtus ir ar įmanoma iš jų išsilaisvinti?,Jami Attenberg,10.69,4,3,Užsienio romanai
"MIRTIS – TAI NE PABAIGA. Ar mūsų kaimynai latviai gali parašyti pasaulinio lygio trilerį? Kritikų teigimu, šis – būtent toks!","Nils Sakss, Jurģis...",15.79,4,12,Užsienio romanai
MŪSŲ NAMAS. Kaip viena klaida gali sugriauti visos šeimos gyvenimą,Louise Candlish,13.99,3,7,Užsienio romanai
"PASAKYK, KAD GAILIESI. Tarsi įtempto siužeto filme nusikaltimo tyrimas pinasi su romantiškais jausmais ir asmeninėmis dramomis",Melinda Leigh,13.99,4,8,Užsienio romanai
KAI MES TIKĖJOME UNDINĖMIS. Puikiai skaitytojų įvertintame bestseleryje ryškiomis gijomis pinasi dramatiška šeimos istorija ir aistringas meilės romanas,Barbara O'Neal,14.59,4,7,Užsienio romanai
"ČINOS AIRON KELIONĖS. Tirštas, sodrus ir gurmaniškas pasakojimas išskirtinės literatūros gerbėjams",Gabriela Cabezón C...,8.99,3,5,Užsienio romanai
LUISAS IR LUISA. Tas pats gyvenimo scenarijus vyrui ir moteriai virsta dviem skirtingais gyvenimo filmais,Julie Cohen,10.69,3,4,Užsienio romanai
DVI SESERYS. Septynis dešimtmečius apimantis ambicingas pasakojimas apie dviejų moterų likimus ir permainų purtomą Ameriką bei pasaulį,Jennifer Weiner,12.29,4,2,Užsienio romanai
"ŽIURKIŲ KARALIUS. Jis taip nekenčia moterų, kad pasiruošęs žudyti. Ir jis toks – ne vienas. Naujosios kartos skandinaviškas trileris veda per visuomenės užribius ir viršūnes",Pascal Engman,13.99,4,6,Užsienio romanai
"PRANYKSTANTI ŽEMĖ. Ant detektyvinio siūlo suvertos paslaptingosios Kamčiatkos moterų istorijos – ir izoliuotos bendruomenės, ir visos žmonijos portretas. Viena iš 10 geriausių „The New York Times“ metų knygų!",Julia Phillips,13.99,4,5,Užsienio romanai
PASKUTINIS TRAUKINYS Į LONDONĄ. Tikrais įvykiais paremta istorija apie vienos moters pastangas išgelbėti dešimt tūkstančių vaikų iš nacių okupuotos Europos,Meg Waite Clayton,14.99,5,6,Užsienio romanai
"KEBLIAUSIAS GYVENIMO DARBAS. Širdį aitrinanti istorija apie apie mirtį, gimimą, sielvartą ir ilgą, lėtą grįžimą į normalų gyvenimą",Pete Fromm,10.49,4,0,Užsienio romanai
SKERDIKO UPELIS. Kuris laimės lemiamą mūšį – serijinis žudikas ar jo žmona? Antrasis bestselerių serijos „Stillhouse Lake“ trileris,Rachel Caine,11.29,4,13,Užsienio romanai
SURASK MANE. Daugiau nei po dešimties metų susitikę bestselerio „Vadink mane savo vardu“ herojai vėl leidžiasi į meilės ir aistros gelmes,André Aciman,13.99,4,7,Užsienio romanai
"MANO DRAUGĖ NATALIJA. Viena garsiausių šiuolaikinių Suomijos rašytojų provokuojančiai gvildena seksualumo, vaikystės traumų, psichoanalizės, feminizmo ir patriarchato temas",Laura Lindstedt,9.39,3,0,Užsienio romanai
"Antroji AŠ. Bauginamai įžvalgus pasakojimas apie motinystę ir nerimastingą būseną, kurią sukelia pasiaukojanti meilė",Helen Phillips,12.59,2,9,Užsienio romanai
OLIVIJA KITERIDŽ. Pulitzerio premija įvertinta ir „Emmy“ statulėlėmis apdovanotą serialą įkvėpusi knyga - negailestingai atviras žvilgsnis į žmogaus gyvenimo esmę,Elizabeth Strout,15.39,4,13,Užsienio romanai
KAIMYNAI. Didžiausios dramos vyksta ramiausiuose priemiesčiuose. Bestselerio „Anyta“ autorės knyga!,Sally Hepworth,12.79,4,27,Užsienio romanai
"ŽVEJAI. Keturi broliai sutinka valkataujantį pamišėlį ir jo ištarta kruvina pranašystė sudrebina vieningos šeimos gyvenimo pamatus. Romanas, patekęs į MAN BOOKER apdovanojimų finalą",Chigozie Obioma,10.69,5,2,Užsienio romanai
GERIAUSI VAISTAI. Antrasis milijoniniu tiražu išleistos Bel Harboro serijos romanas - vasariškas desertas prisiekusioms romantikėms,Tracy Brogan,9.59,4,8,Užsienio romanai
"PASKUTINIS KNYGŲ VAKARĖLIS. Knygų leidybos užkulisiai, bohemiškas menininkų gyvenimas, meilės trikampiai (beveik keturkampiai) ir jaunos merginos brandos istorija telpa viename vasariškame romane",Karen Dukess,12.29,5,1,Užsienio romanai
NEKALTIEJI IR KALTININKAI. Tarp mito ir tikrovės balansuojanti sudėtinga vienos šeimos ir visos Kretos istorija,Maro Douka,12.29,2,3,Užsienio romanai
"STEBUKLAI. Kaip toli nueisite, kad apgintumėte savo šeimos narius? Detektyvinis romanas apie tėvus, vaikus, santuoką ir nenutrūkstamą geresnio gyvenimo viltį",Angie Kim,11.79,4,3,Užsienio romanai
"KUŽDESIŲ TINKLAS. Kas atsitinka, kai jos nusprendžia nebetylėti? Knyga, kurią privalo perskaityti kiekviena karjeros moteris!",Chandler Baker,11.29,3,1,Užsienio romanai
Likimų tapytoja iš Džaipuro,Alka Joshi,10.79,5,6,Užsienio romanai
Klara ir Saulė,Kazuo Ishiguro,10.09,3,9,Užsienio romanai
Moterų laimė,Ėmile Zola,12.99,5,2,Užsienio romanai
Kai mirtis nusišalina (2021),Jose Saramago,12.09,5,2,Užsienio romanai
Evangelija pagal Jėzų Kristų,Jose Saramago,13.39,5,2,Užsienio romanai
Kopa. Pirma „Kopa“ kronikų knyga,Frank Herbert,21.29,4,39,Užsienio romanai
Paviršius,Olivier Norek,9.79,5,10,Užsienio romanai
Slaptoji geišos knyga,Sei Shonagon,8.99,1,1,Užsienio romanai
18 laipsnių šalčio,Stefan Ahnhem,9.99,4,15,Užsienio romanai
"PER VANDENĮ IR UGNĮ. Jaunos gydytojos kova su nusikalstamu pasauliu ir savo pačios demonais. Kitoks, nei esate įpratę, skandinaviškas detektyvinis romanas",Christian Unge,10.69,2,3,Užsienio romanai
"TAI, KAS NEDEGA UGNYJE. Jautri, talentingai parašyta ir lengvai skaitoma istorija apie drąsią moterį vyrų teritorijoje",Katherine Center,13.19,4,9,Užsienio romanai
"VIENINTELĖ MOTERIS KAMBARYJE. Jos grožis stulbino, o protas - gąsdino. Romanas pagal tikrą Holivudo žvaigždės ir savamokslės išradėjos Hedy Lamarr istoriją",Marie Benedict,9.39,4,4,Užsienio romanai
"PAŽVELK Į MANE. Meilės istorijų karalius Nicholas Sparksas sukūrė jaudinantį pasakojimą, kupiną emocijų ir įtampos. Tai nuostabus perlas kiekvienos nepataisomos romantikės kolekcijai",Nicholas Sparks,13.19,4,16,Užsienio romanai
"AGATA. Elegantiška ir subtili istorija apie du skirtingus žmones, padėjusius vienas kitam atverti akis ir širdis",Anne Cathrine Bomann,6.09,4,7,Užsienio romanai
"TAMSI VILIONĖ. Kai žudikas grįžta baigti to, ką pradėjo... ",Loreth Anne White,9.59,4,18,Užsienio romanai
LAISVAS KAMBARYS. Išsivaduoti iš košmarų gali tik stojęs su jais akis į akį,Dreda Say Mitchell,11.69,4,15,Užsienio romanai
Sakalas keleivis,John A. Baker,10.29,5,1,Užsienio romanai
"SĖKMĖS EŽERAS. Kandus, ironiškai skvarbus žvilgsnis į šių dienų Ameriką ir 0,1 proc. turtingiausiųjų gyvenimą",Gary Shteyngart,10.39,4,3,Užsienio romanai
"UŽRAŠAI IŠ MIRUSIŲJŲ NAMŲ: nei grotos, nei grandinės nesuteikia teisės pamiršti, kad esi žmogus…",Fiodoras Dostojevskis,15.79,4,5,Užsienio romanai
"LOŠĖJAS: vienintelis dalykas, kurį prarasti skaudžiau nei pinigus, yra meilė",Fiodoras Dostojevskis,13.19,4,1,Užsienio romanai
KURTIZANIŲ SPINDESYS IR SKURDAS: didingiausias ir svarbiausias garsiausio prancūzų rašytojo Honoré de Balzaco kūrinys,Honoré de Balzacas,13.49,4,2,Užsienio romanai
"PASAKYK, KAD ESI MANO",Elisabeth Noreback,12.59,4,5,Užsienio romanai
Austerlicas,W. G. Sebald,9.39,3,3,Užsienio romanai
ANGELO ŽAIDIMAS: pasaulinis fenomenas (bestseleris daugiau nei 40 šalių!) – mistinis psichologinis trileris panardins į kvapą gniaužiantį nuotykį Barselonoje,Carlos Ruiz Zafon,11.69,4,3,Užsienio romanai
Akinantis sniegas,Ragnar Jónasson,8.89,3,8,Užsienio romanai
Naminis gyvūnas,Camilla Grebe,9.49,4,4,Užsienio romanai
Olandų namas,Ann Patchett,9.19,4,6,Užsienio romanai
Jautrusis pasakotojas,Olga Tokarczuk,10.59,5,1,Užsienio romanai
Vilkų vasara,Hans Rosenfeldt,11.39,2,6,Užsienio romanai
Visos tavo baimės,Alex Finlay,10.99,4,5,Užsienio romanai
Visi mūsų tviskantys dangūs,Trent Dalton,12.89,3,6,Užsienio romanai
BITININKAS IŠ ALEPO. Pragariška pabėgėlių kelionė iš karo siaubiamos Sirijos. Ką jie atras pakeliui?,Christy Lefteri,11.99,4,11,Užsienio romanai
Vakaro nejauka,Marieke Lucas Rijn...,8.49,4,8,Užsienio romanai
Prieš jai dingstant,Lisa Gardner,8.69,4,9,Užsienio romanai
"TEN, KUR GIEDA VĖŽIAI. Pasaulį parklupdžiusi istorija apie atsiskyrėlę iš Šiaurės Karolinos pelkių. Parduota daugiau nei 12 milijonų egzempliorių! (kieti viršeliai)",Delia Owens,10.99,4,402,Užsienio romanai
Aitvarai,Romain Gary,8.79,4,0,Užsienio romanai
Psichoterapeutas,B. A. Paris,11.69,4,24,Užsienio romanai
Atsekt iki namų,Mark Edwards,8.69,4,12,Užsienio romanai
Seserys,Kristin Hannah,8.69,3,14,Užsienio romanai
Kelionės su Čarliu ieškant Amerikos,John Steinbeck,8.69,5,2,Užsienio romanai
Į Rytus nuo Edeno,John Steinbeck,13.09,5,4,Užsienio romanai
Antrasis Fondas. 3 knyga,Isaac Asimov,12.09,5,4,Užsienio romanai
GRAŽIAUSIOS RANKOS DELYJE: tarptautinis bestseleris – jaudinanti ir linksma istorija apie Indijoje atrastą gyvenimo prasmę,Mikael Bergstrand,11.69,5,1,Užsienio romanai
NAKTIES PAUKŠTĖ: Nr. 1 bestseleris – genialus naujas švedų detektyvo šedevras,Johanna Mo,11.69,4,9,Užsienio romanai
