Knygos pavadinimas,Autorius,Kaina €,Reitingas,Įvertinimų skaičius,Žanras
Uolynų gėlė,Ilaria Tuti,10.79,4,6,Užsienio romanai
Kopos vaikai. Trečia „Kopa“ kronikų knyga,Frank Herbert,20.89,4,11,Užsienio romanai
Ištekėti du kartus,Jennifer Faye,4.89,4,0,Užsienio romanai
Ar lengva įsimylėti rašytoją?,Jennifer Faye,4.89,4,1,Užsienio romanai
Mes pradedame iš naujo,Colleen Hoover,12.09,4,84,Užsienio romanai
Pirmojo asmens vienaskaita,Haruki Murakami,11.89,4,3,Užsienio romanai
Taun Mūro laukai. Inspektorius Rajenas,L.J. Ross,7.69,4,4,Užsienio romanai
Lužino gynyba,Vladimir Nabokov,8.79,4,0,Užsienio romanai
Naktinis darbas,Nora Roberts,8.79,4,7,Užsienio romanai
"Pasirinkimas (Drakono širdies palikimas, #3)",Nora Roberts,8.79,5,2,Užsienio romanai
PRIBUVĖJOS SAPNAS: ilgai laukta finalinė PRIBUVĖJOS SAGOS dalis – už laimę teks sumokėti krauju…,Sabine Ebert,12.99,4,4,Užsienio romanai
"KLEOPATRA: vienas didingiausių romanų apie senovės Egiptą ir tūkstantmečius neblėstančią jo legendą – karalienę Kleopatrą, kurios kerams neatsispyrė galingiausi pasaulio vyrai",Henry Rider Haggard,11.99,2,7,Užsienio romanai
Kartą prie upės,Diane Setterfield,10.79,3,3,Užsienio romanai
Ponios Kristi apgaulė,Nina de Gramont,12.09,4,0,Užsienio romanai
Geri kaimynai,Mattias Edvardsson,10.89,4,6,Užsienio romanai
Žiemos vanduo,Susanne Jansson,9.69,3,5,Užsienio romanai
VORAS. Lars Kepler 9-asis detektyvo šedevras,Lars Kepler,13.49,3,18,Užsienio romanai
Šaltinis,Ayn Rand,17.19,4,43,Užsienio romanai
TYKANTIS TAMSOJE. Siaubo ir keistosios literatūros klasiko tekstai – tarsi skiepai nuo egocentrizmo,Howard Phillips Lo...,14.79,4,14,Užsienio romanai
Mes dedame tašką,Colleen Hoover,7.89,4,265,Užsienio romanai
Lopšinė raganoms,Hester Fox,11.69,4,13,Užsienio romanai
Ne ta šeima (knyga su defektai),Tarryn Fisher,10.49,4,3,Užsienio romanai
Seserys Chanel,Judithe Little,9.99,5,7,Užsienio romanai
Monarcho meilužė,Bryn Turnbull,11.59,4,7,Užsienio romanai
Naktis ir diena (knyga su defektais),Virginia Woolf,16.49,5,3,Užsienio romanai
"Į VAKARUS SU ŽIRAFOMIS. Į grožinio kūrinio rūbą įvilkta neįtikėtina, bet tikra istorija, kuri sušildė Didžiosios depresijos išvargintų amerikiečių širdis",Lynda Rutledge,18.49,5,4,Užsienio romanai
"BIKFORDO PASAULIS. Kaip niekad aktualus fantasmagoriškas romanas apie karą, kuris niekada nesibaigia, ir apie šalį, kuri negali liautis kariavusi",Andrej Kurkov,15.49,5,2,Užsienio romanai
"VAKARAS IR RYTAS. Epinis pasakojimas apie viduramžių Angliją, kurio veiksmas baigiasi ten, kur prasideda fenomenalaus populiarumo sulaukusio romano „Žemės stulpai“ istorija",Ken Follett,27.39,4,11,Užsienio romanai
AGATOS KRISTI PASLAPTIS. Kur ir kodėl vienuolika dienų buvo dingusi detektyvų karalienė?,Marie Benedict,15.49,5,1,Užsienio romanai
SKAITOVAS 6.27 VAL. Daugiau nei 30 šalių išleista prancūzų literatūros sensacija,Jean-Paul Didierla...,11.89,5,1,Užsienio romanai
"SKERDIKO DUKTĖ. Ryžtingos žydės kelionė XIX a. Rusijos imperijos keliais – talentingai parašytas ironiškas ir nuotykių pilnas kūrinys, prilygstantis brolių Coenų ir Quentino Tarantino darbams",Yaniv Iczkovits,20.59,4,3,Užsienio romanai
PAKLYDUSI. Literatūrinėmis premijomis įvertintame šiuolaikinės Šecherazados pasakojime Rytai susitinka Vakarus,Négar Djavadi,15.49,4,4,Užsienio romanai
"PASKUTINIS NORAS. Širdį verianti istorija apie lemtingą meilę ir stebuklą, nutikusį Kalėdų naktį (kieti viršeliai)",Nicholas Sparks,17.29,4,16,Užsienio romanai
"SIMONAS. Ir keturios moterys, kurioms jis išaugino sparnus. Naujas bestselerio „Iš dangaus nukrito trys obuoliai“ autorės romanas",Narine Abgaryan,15.49,4,40,Užsienio romanai
NERACIONALŪS DALYKAI. Kai suomė įsimyli kataloną. Savitu stiliumi papasakotas intensyvus romanas tarp dviejų šalių ir kultūrų,Saara Turunen,14.59,4,4,Užsienio romanai
ŠEIMA. Italų mafijai priklausančių šeimų dukterys peržengia nerašytų įstatymų nubrėžtas ribas,Naomi Krupitsky,15.49,5,2,Užsienio romanai
"MAŽOS PASLAPTYS. Kai susipina meilė ir neapykanta, gimsta pabaisa. Naujas bestselerio „Stiklainis širdžių“ autorės trileris",Jennifer Hillier,18.49,4,22,Užsienio romanai
IEŠKOK MANĘS HAVANOJE. Bestselerio „Bevardės mergaitės“ autorė pasakoja dramatiško likimo Holivudo žvaigždės ir jos dukters istoriją,Serena Burdick,17.39,4,5,Užsienio romanai
SLAPTAS BABOS SEGI ŽMONŲ GYVENIMAS. Literatūrinėmis premijomis įvertintas skvarbus žvilgsnis į poligamiškos visuomenės gyvenimo užkulisius,Lola Shoneyin,16.19,4,12,Užsienio romanai
PARYŽIAUS VALANDOS,Alex George,17.39,5,1,Užsienio romanai
"AŠTUONIOS TOBULOS ŽMOGŽUDYSTĖS. Ar įmanoma sugauti žudiką, kuris žaidžia pagal taisykles? (kieti viršeliai)",Peter Swanson,16.19,4,27,Užsienio romanai
"NAKTIES SAULĖ. Hipnotizuojantis pasakojimas apie netekties skausmą, gydančią draugystę ir kelią į brandą",Diane Zinna,18.49,3,5,Užsienio romanai
MERGINA BALTU KIMONO. Ar meilė svetimšaliui gali būti stipresnė už konservatyvios visuomenės dogmas? Pasauliniu bestseleriu tapęs romanas „Geišos išpažinties“ gerbėjams,Ana Johns,18.49,4,16,Užsienio romanai
